feature,level,gender_pre,pval_gender_pre,gender_post,pval_gender_post,pandemic_male,pval_pandemic_male,pandemic_female,pval_pandemic_female,gender_pandemic,gender_pandemic_pval
Electronic_MadeAppts,2,-0.21381542716398433,0.06134810557313165,-0.35536277440230074,7.646338944744535e-5,-0.05777317450966708,0.5972105618462773,-0.19932052174798348,0.03412123664435862,-0.1415473472383164,0.3242591456614336
Electronic_SelfHealthInfo,2,-0.6500697385970392,1.2043824424805977e-6,-0.5527307551247281,1.2147462591372005e-7,-0.006203065778146524,0.9595009161832516,0.0911359176941645,0.4272684604691239,0.09733898347231103,0.5590938740989817
Electronic_TalkDoctor,2,-0.2981821927466915,0.01115435108727631,-0.12441845110490846,0.17802565374395307,-0.26594555939788245,0.017906548319388205,-0.0921818177560994,0.3418125212276828,0.17376374164178304,0.23925545379374022
Electronic_TestResults,2,-0.471880670616614,6.399512774301109e-5,-0.3761003900111304,5.385096874999107e-5,-0.007833607371043026,0.9449133993907559,0.08794667323444061,0.3625844034913126,0.09578028060548363,0.5183333787803098
FreqWearDevTrackHealth,2,0.10426626106923417,0.7068963767283718,0.016529976187766915,0.9391583829281498,-0.1691591261521465,0.5523774437303512,-0.2568954110336138,0.2090350860599237,-0.08773628488146726,0.8012698058761674
FreqWearDevTrackHealth,3,-0.5339582000151321,0.14888028073586979,0.344030607966911,0.309084591869244,-0.9080377647107494,0.023773979256948744,-0.030048956728706333,0.9205625828092625,0.877988807982043,0.07811269407756359
FreqWearDevTrackHealth,4,-0.2918041620747021,0.5677645527009514,0.11090977932042423,0.7310163223817236,0.27636607286069775,0.5715852291324783,0.6790800142558241,0.05812226383739261,0.40271394139512634,0.5028591856772254
FreqWearDevTrackHealth,5,-0.0354708557852787,0.920749560487488,0.5020290416233184,0.10873322388283757,-0.5351154618347922,0.17108246107193772,0.002384435573804966,0.9928312185324986,0.5374998974085972,0.25517962511727105
IntRsn_SharedSocNet,2,-1.1369179528679996,2.163201227632667e-8,-0.6972543262412907,3.1636570096971184e-7,-0.4711327559885077,0.023777216552314233,-0.03146912936179874,0.8033360435876049,0.43966362662670894,0.07041871277637435
IntRsn_SupportGroup,2,-1.5273782945852112,2.6131227659490777e-8,-0.7733589539551806,3.784790258531956e-6,-0.7233636625117897,0.011091166313114444,0.03065567811824088,0.8346882754222931,0.7540193406300306,0.018407347565023543
IntRsn_VisitedSocNet,2,-0.8053459949189191,1.6503793837170621e-10,-0.49969176792601516,1.128540806805134e-6,-0.40927906933083436,4.725292651994563e-4,-0.1036248423379304,0.34676373661503046,0.30565422699290395,0.05568805964744233
IntRsn_YouTube,2,-0.3402828133687341,0.005526451336785602,-0.057990420606202964,0.5312755091549786,-0.32438443089349184,0.005599621895460535,-0.042092038130960685,0.6683370218950602,0.28229239276253115,0.06363725674171693
SharedHealthDeviceInfo,2,5.025994122451168e-4,0.9975330145761263,-0.038898743526099504,0.753497838951761,-0.09368930696049241,0.545719697046801,-0.13309064989883704,0.310211583422086,-0.03940134293834462,0.8454976635379239
SharedHealthDeviceInfo,3,-0.3750628806889155,0.1390784817534412,-0.3843723268894641,0.05015926249828451,-0.05139441693261943,0.8243846656322472,-0.060703863133168036,0.784310141110574,-0.0093094462005486045,0.9766651857652301
Tablet_AchieveGoal,2,-0.49205467555229565,1.1801903472575188e-4,-0.46334388782323677,3.2925789783533332e-6,0.02787014368338116,0.8218054169751254,0.05658093141244003,0.583174807760914,0.02871078772905887,0.8577205798582666
Tablet_DiscussionsHCP,2,-0.19316608422558434,0.12213928478452216,-0.2956529112256283,0.0024493690277169744,-0.008979740211055014,0.941047455111281,-0.11146656721109902,0.26701261227998274,-0.102486827000044,0.5135595863251012
Tablet_MakeDecision,2,-0.3245831856975329,0.009359761455798666,-0.1605609845835383,0.09887820854312235,-0.03808094978482272,0.7538853451550697,0.12594125132917192,0.20885911194234952,0.16402220111399463,0.29528483781227344
TabletHealthWellnessApps,2,-0.4231088314302193,7.740989373662582e-4,-0.3938065972889818,7.49051202328932e-5,-0.09811002050642675,0.41778006527422745,-0.06880778636518925,0.5063623039940341,0.029302234141237504,0.8534061203006866
TabletHealthWellnessApps,3,0.12044040387618293,0.7979054378082343,-0.5936577131429431,0.061432164093444985,0.7927549577906299,0.06771577648448392,0.07865684077150381,0.8271639758646661,-0.7140981170191261,0.20515646064435314
UsedHealthWellnessApps,2,-0.4400529154548366,0.08267257523801731,-0.4064370213748881,0.03716923077875611,0.05229892698005855,0.8255135325982788,0.08591482106000706,0.6836648735862942,0.033615894079948506,0.9155085440930072
UsedHealthWellnessApps,3,16.801962583774614,0.9888823728455107,0.58985235636111355,0.3987943748485825,15.702886329490996,0.9896095746972395,-0.5092238979225048,0.32645386494937645,-16.2121102274135,0.989272647920049
WearableDevTrackHealth,2,-0.5379036092964832,4.038913142529791e-5,-0.5567344946967636,5.610191022853428e-8,0.003135706653551868,0.9807489879277256,-0.015695178746728537,0.8778861752026046,-0.018830885400280405,0.9089332119809017
WillingShareData_HCP,2,0.19798159233417273,0.5238493896999741,-0.0038976097649522923,0.9863613852319533,0.21818778055993823,0.4842880336260121,0.01630857846081321,0.9417349383555211,-0.20187920209912502,0.5967047133484297
WillingShareData_YourFamily,2,0.2986404331196838,0.2628678852322644,-0.05645735342582858,0.7762255054720413,0.3470487167830043,0.20028170527093114,-0.008049069762508076,0.9662127551545385,-0.3550977865455124,0.28038512157545287
WillingShareData_YourFriends,2,-0.22115922540192806,0.32496704260298,-0.38496033452065526,0.027986120028836936,0.0020406641581223977,0.992872643573077,-0.16176044496060477,0.3382379530596673,-0.16380110911872717,0.5618104948370128
